# name	country	resolved domain -- written by resolve_vendors.py
10 Bottle Value	Latvia	10bottlevalue.co
LabGrade Peptides	United States	labgradepeptides.com
Liberty Peptides	United States	libertypeptides.com
Licensed Peptides	United States	licensedpeptides.com
LiliPeptide	United States	lilipeptide.com
Limitless Biochem	United States	limitlessbiochem.com
Limitless Life Nootropics	United States	limitlesslifenootropics.com
Limitless Peptides	United States	limitlesspeptides.net
LiveWell Peptides	United States	livewellpeptides.com
Longevity Peptides	United States	longevitypeptides.us
Longevity Pro Labs	United States	longevityprolabs.com
Loti Labs	United States	lotilabs.com
MR Peptides AU	Australia	peptides806.com
MR Sarm	United States	mrsarm.is
Mai Peptide	United States	regena-peptides.com
Maple Research Labs	Canada	mapleresearchlabs.co
MedChemExpress	United States	medchemexpress.com
Midwest Peptide	United States	midwestpeptide.com
Mile High Compounds	United States	milehighcompounds.is
Modern Aminos	United States	modernaminos.com
Modern Research Peptides	United States	modernresearchpeptides.net
Molecular Edge Peptides	United States	medgepeptides.com
NCRP	Canada	ncrpcanada.com
NUPEPS Peptides	United States	nupeps.com
Nationwide Peptides	United States	nationwidepeptides.com
Nexaph	United States	nexaph.com
Nexgen Peptides	United States	nexgenpeptides.com
NextGen Peptides	United States	ngpeptide.com
NextechLabs	United States	nextechlaboratories.com
NordPure	Norway	nordpure.no
NordSci Peptides	United States	nordscipeptides.com
NuScience	United States	nusciencepeptides.com
Nuscience Peptides	United States	nusciencepeptides.com
Oasis Peptides	United States	oasispeptides.com
Oath Research	United States	oathresearch.com
OmegAmino	United States	omegamino.net
Onyx Biolabs	United States	onyxbiolabs.com
Orbitrex Peptides	United States	orbitrexpeptide.is
Oros	United States	orosresearch.com
PROFORMA PEPTIDES UK	United Kingdom	proformapeptides.co.uk
Panda Peptides	United States	pandapeptides.com
Paradigm Peptide	United States	paradigm-peptide.com
Paramount Peptides	United States	paramountpeptides.com
Particle Peptides	Slovakia	particlepeptides.com
PepKits	United States	pepkits.shop
Pepcore	Netherlands	pepcore.net
Peptagenix	United Kingdom	peptagenix.com
Peptagenix Peptides	United Kingdom	peptagenix.com
PeptiLab Research	United States	peptilabstore.com
Peptide Centre	United States	peptidecentre.com
Peptide Crafters	United States	peptidecrafters.com
Peptide Foundry	United States	peptidefoundry.com
Peptide Lab+	New Zealand	peptidelabnz.com
Peptide Partners	United States	peptide.partners
Peptide Pros	United States	peptidepros.net
Peptide Sciences	United States	peptidescienceslabs.com
Peptide Supply Co.	United States	peptidesupplyco.com
Peptide Tech	United States	peptidetech.is
Peptide Technologies	United States	peptidetech.is
Peptide Warehouse	Canada	peptide-warehouse.com
Peptide Works	United States	peptide-works.com
Peptide-S	United States	peptide-s.shop
PeptidePlugs	United States	peptideplugs.com
Peptides 4 Research	United States	peptides4research.com
Peptides BioTech	United States	peptidestack.io
Peptides Canada	Canada	peptideprocanada.com
Peptides Certified	United States	peptidestack.io
Peptides Lab UK	United Kingdom	peptideslabuk.com
Peptides Source	United States	peptidessource.com
Peptides UK	United Kingdom	peptideslabuk.com
